shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_fullslate_hfcheck-KXHIGHNY-26FEB26-B36.5,2026-02-27T01:58:01.146268+00:00,,KXHIGHNY-26FEB26-B36.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.019407+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_hfcheck-KXHIGHNY-26FEB26-B38.5,2026-02-27T01:58:01.235605+00:00,,KXHIGHNY-26FEB26-B38.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.019425+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_hfcheck-KXHIGHNY-26FEB26-B40.5,2026-02-27T01:58:01.327811+00:00,,KXHIGHNY-26FEB26-B40.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.019434+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_hfcheck-KXHIGHNY-26FEB26-B42.5,2026-02-27T01:58:01.417746+00:00,,KXHIGHNY-26FEB26-B42.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.019442+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_hfcheck-KXHIGHNY-26FEB26-T36,2026-02-27T01:58:01.507791+00:00,,KXHIGHNY-26FEB26-T36,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.019449+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_hfcheck-KXHIGHNY-26FEB26-T43,2026-02-27T01:58:01.595597+00:00,,KXHIGHNY-26FEB26-T43,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,99,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.019455+00:00,0.000000,0.000000,p_true=0.995000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26CHAIND-IND,2026-02-27T01:58:06.929715+00:00,,KXNBAGAME-26FEB26CHAIND-IND,KXNBAGAME-26FEB26CHAIND,Sports,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.331775+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26HOUORL-HOU,2026-02-27T01:58:07.024644+00:00,,KXNBAGAME-26FEB26HOUORL-HOU,KXNBAGAME-26FEB26HOUORL,Sports,yes,post_yes,maker,30,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.331867+00:00,0.000000,0.000000,p_true=0.300000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26HOUORL-ORL,2026-02-27T01:58:07.129727+00:00,,KXNBAGAME-26FEB26HOUORL-ORL,KXNBAGAME-26FEB26HOUORL,Sports,yes,post_yes,maker,70,70,1,0.0,0.0,,,,filled,,,,p_true=0.705000;fill_trade_id=ce04573f-b968-428b-1e10-3e18ca1e28c2;fill_count_seen=1
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26LALPHX-LAL,2026-02-27T01:58:07.225058+00:00,,KXNBAGAME-26FEB26LALPHX-LAL,KXNBAGAME-26FEB26LALPHX,Sports,yes,post_yes,maker,66,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.331884+00:00,0.000000,0.000000,p_true=0.665000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26LALPHX-PHX,2026-02-27T01:58:07.374157+00:00,,KXNBAGAME-26FEB26LALPHX-PHX,KXNBAGAME-26FEB26LALPHX,Sports,yes,post_yes,maker,33,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.331896+00:00,0.000000,0.000000,p_true=0.335000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26MIAPHI-MIA,2026-02-27T01:58:07.465374+00:00,,KXNBAGAME-26FEB26MIAPHI-MIA,KXNBAGAME-26FEB26MIAPHI,Sports,yes,post_yes,maker,37,37,1,0.0,0.0,,,,filled,,,,p_true=0.375000;fill_trade_id=720c81bc-de2b-6da7-47cd-7cd77f25056d;fill_count_seen=3
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26MINLAC-LAC,2026-02-27T01:58:07.657317+00:00,,KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,Sports,yes,post_yes,maker,25,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.341222+00:00,0.000000,0.000000,p_true=0.255000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26MINLAC-MIN,2026-02-27T01:58:07.745722+00:00,,KXNBAGAME-26FEB26MINLAC-MIN,KXNBAGAME-26FEB26MINLAC,Sports,yes,post_yes,maker,74,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.341291+00:00,0.000000,0.000000,p_true=0.745000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26NOPUTA-NOP,2026-02-27T01:58:07.835207+00:00,,KXNBAGAME-26FEB26NOPUTA-NOP,KXNBAGAME-26FEB26NOPUTA,Sports,yes,post_yes,maker,67,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.341306+00:00,0.000000,0.000000,p_true=0.675000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26NOPUTA-UTA,2026-02-27T01:58:07.923447+00:00,,KXNBAGAME-26FEB26NOPUTA-UTA,KXNBAGAME-26FEB26NOPUTA,Sports,yes,post_yes,maker,32,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.341317+00:00,0.000000,0.000000,p_true=0.320000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26PORCHI-CHI,2026-02-27T01:58:08.587612+00:00,,KXNBAGAME-26FEB26PORCHI-CHI,KXNBAGAME-26FEB26PORCHI,Sports,yes,post_yes,maker,55,55,1,0.0,0.0,,,,filled,,,,p_true=0.555000;fill_trade_id=adefa768-25da-7268-2195-fff4becafa0d;fill_count_seen=1
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26PORCHI-POR,2026-02-27T01:58:08.687473+00:00,,KXNBAGAME-26FEB26PORCHI-POR,KXNBAGAME-26FEB26PORCHI,Sports,yes,post_yes,maker,44,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.341327+00:00,0.000000,0.000000,p_true=0.445000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26SACDAL-DAL,2026-02-27T01:58:08.782748+00:00,,KXNBAGAME-26FEB26SACDAL-DAL,KXNBAGAME-26FEB26SACDAL,Sports,yes,post_yes,maker,60,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.341375+00:00,0.000000,0.000000,p_true=0.605000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26SACDAL-SAC,2026-02-27T01:58:08.872805+00:00,,KXNBAGAME-26FEB26SACDAL-SAC,KXNBAGAME-26FEB26SACDAL,Sports,yes,post_yes,maker,39,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.341397+00:00,0.000000,0.000000,p_true=0.395000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26SASBKN-BKN,2026-02-27T01:58:09.003461+00:00,,KXNBAGAME-26FEB26SASBKN-BKN,KXNBAGAME-26FEB26SASBKN,Sports,yes,post_yes,maker,5,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.341416+00:00,0.000000,0.000000,p_true=0.050000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26SASBKN-SAS,2026-02-27T01:58:09.097583+00:00,,KXNBAGAME-26FEB26SASBKN-SAS,KXNBAGAME-26FEB26SASBKN,Sports,yes,post_yes,maker,95,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.341433+00:00,0.000000,0.000000,p_true=0.955000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_fullslate_hfcheck-KXNBAGAME-26FEB26WASATL-ATL,2026-02-27T01:58:09.230063+00:00,,KXNBAGAME-26FEB26WASATL-ATL,KXNBAGAME-26FEB26WASATL,Sports,yes,post_yes,maker,97,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:58:24.341445+00:00,0.000000,0.000000,p_true=0.975000;edge_gone:nba_live_odds_missing;station_id=None
