shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_phase23_fullgame_sniper_min-KXHIGHNY-26FEB26-B38.5,2026-02-27T02:50:44.061386+00:00,,KXHIGHNY-26FEB26-B38.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.460850+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_phase23_fullgame_sniper_min-KXHIGHNY-26FEB26-B40.5,2026-02-27T02:50:44.155344+00:00,,KXHIGHNY-26FEB26-B40.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.461154+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_phase23_fullgame_sniper_min-KXHIGHNY-26FEB26-B42.5,2026-02-27T02:50:44.248274+00:00,,KXHIGHNY-26FEB26-B42.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.461436+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_phase23_fullgame_sniper_min-KXHIGHNY-26FEB26-T36,2026-02-27T02:50:44.340794+00:00,,KXHIGHNY-26FEB26-T36,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.461719+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_phase23_fullgame_sniper_min-KXHIGHNY-26FEB26-T43,2026-02-27T02:50:44.432373+00:00,,KXHIGHNY-26FEB26-T43,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,99,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.461998+00:00,0.000000,0.000000,p_true=0.995000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_phase23_fullgame_sniper_min-KXNBAGAME-26FEB26HOUORL-HOU,2026-02-27T02:50:48.963925+00:00,,KXNBAGAME-26FEB26HOUORL-HOU,KXNBAGAME-26FEB26HOUORL,Sports,yes,post_yes,maker,50,50,1,0.0,0.0,,,,filled,,,,p_true=0.505000;fill_trade_id=b2265d14-a10d-722c-37b8-5251a3aa88ec;fill_count_seen=3
shadow-26FEB26_phase23_fullgame_sniper_min-KXNBAGAME-26FEB26HOUORL-ORL,2026-02-27T02:50:49.056560+00:00,,KXNBAGAME-26FEB26HOUORL-ORL,KXNBAGAME-26FEB26HOUORL,Sports,yes,post_yes,maker,49,49,1,0.0,0.0,,,,filled,,,,p_true=0.490000;fill_trade_id=e3f6af3a-e300-69e7-1054-3c019ae12517;fill_count_seen=3
shadow-26FEB26_phase23_fullgame_sniper_min-KXNBAGAME-26FEB26LALPHX-LAL,2026-02-27T02:50:49.156604+00:00,,KXNBAGAME-26FEB26LALPHX-LAL,KXNBAGAME-26FEB26LALPHX,Sports,yes,post_yes,maker,57,57,1,0.0,0.0,,,,filled,,,,p_true=0.575000;fill_trade_id=8af930fd-8644-622a-794a-57479b626f28;fill_count_seen=3
shadow-26FEB26_phase23_fullgame_sniper_min-KXNBAGAME-26FEB26LALPHX-PHX,2026-02-27T02:50:49.254343+00:00,,KXNBAGAME-26FEB26LALPHX-PHX,KXNBAGAME-26FEB26LALPHX,Sports,yes,post_yes,maker,42,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.462280+00:00,0.000000,0.000000,p_true=0.425000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26_phase23_fullgame_sniper_min-KXNBAGAME-26FEB26MINLAC-LAC,2026-02-27T02:50:49.346248+00:00,,KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,Sports,yes,post_yes,maker,25,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T02:51:07.462584+00:00,0.000000,0.000000,p_true=0.255000;edge_gone:nba_live_odds_missing;station_id=None
