shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26-KXHIGHNY-26FEB26-B38.5,2026-02-27T01:46:55.609641+00:00,,KXHIGHNY-26FEB26-B38.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734311+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26-KXHIGHNY-26FEB26-B40.5,2026-02-27T01:46:55.695169+00:00,,KXHIGHNY-26FEB26-B40.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734364+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26-KXHIGHNY-26FEB26-B42.5,2026-02-27T01:46:55.782725+00:00,,KXHIGHNY-26FEB26-B42.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734394+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26-KXHIGHNY-26FEB26-T36,2026-02-27T01:46:55.886238+00:00,,KXHIGHNY-26FEB26-T36,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734438+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26-KXHIGHNY-26FEB26-T43,2026-02-27T01:46:55.976450+00:00,,KXHIGHNY-26FEB26-T43,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,99,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734472+00:00,0.000000,0.000000,p_true=0.995000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26-KXNBAGAME-26FEB26HOUORL-HOU,2026-02-27T01:47:01.833660+00:00,,KXNBAGAME-26FEB26HOUORL-HOU,KXNBAGAME-26FEB26HOUORL,Sports,yes,post_yes,maker,27,27,1,0.0,0.0,,,,filled,,,,p_true=0.275000;fill_trade_id=f35465b4-dbf4-4175-0cf0-0ed7664f0fe7;fill_count_seen=2
shadow-26FEB26-KXNBAGAME-26FEB26HOUORL-ORL,2026-02-27T01:47:01.925743+00:00,,KXNBAGAME-26FEB26HOUORL-ORL,KXNBAGAME-26FEB26HOUORL,Sports,yes,post_yes,maker,72,72,1,0.0,0.0,,,,filled,,,,p_true=0.725000;fill_trade_id=59a1d2d5-57bd-7571-1d41-7fb58b399513;fill_count_seen=3
shadow-26FEB26-KXNBAGAME-26FEB26LALPHX-LAL,2026-02-27T01:47:02.012707+00:00,,KXNBAGAME-26FEB26LALPHX-LAL,KXNBAGAME-26FEB26LALPHX,Sports,yes,post_yes,maker,66,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734503+00:00,0.000000,0.000000,p_true=0.665000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26LALPHX-PHX,2026-02-27T01:47:02.109894+00:00,,KXNBAGAME-26FEB26LALPHX-PHX,KXNBAGAME-26FEB26LALPHX,Sports,yes,post_yes,maker,33,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734575+00:00,0.000000,0.000000,p_true=0.335000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26MINLAC-LAC,2026-02-27T01:47:02.378694+00:00,,KXNBAGAME-26FEB26MINLAC-LAC,KXNBAGAME-26FEB26MINLAC,Sports,yes,post_yes,maker,25,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734610+00:00,0.000000,0.000000,p_true=0.255000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26NOPUTA-NOP,2026-02-27T01:47:02.563042+00:00,,KXNBAGAME-26FEB26NOPUTA-NOP,KXNBAGAME-26FEB26NOPUTA,Sports,yes,post_yes,maker,67,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734731+00:00,0.000000,0.000000,p_true=0.675000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26NOPUTA-UTA,2026-02-27T01:47:02.655346+00:00,,KXNBAGAME-26FEB26NOPUTA-UTA,KXNBAGAME-26FEB26NOPUTA,Sports,yes,post_yes,maker,32,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734789+00:00,0.000000,0.000000,p_true=0.325000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26PORCHI-CHI,2026-02-27T01:47:02.751005+00:00,,KXNBAGAME-26FEB26PORCHI-CHI,KXNBAGAME-26FEB26PORCHI,Sports,yes,post_yes,maker,47,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734850+00:00,0.000000,0.000000,p_true=0.470000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26PORCHI-POR,2026-02-27T01:47:02.844209+00:00,,KXNBAGAME-26FEB26PORCHI-POR,KXNBAGAME-26FEB26PORCHI,Sports,yes,post_yes,maker,53,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734905+00:00,0.000000,0.000000,p_true=0.535000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26SACDAL-DAL,2026-02-27T01:47:02.941638+00:00,,KXNBAGAME-26FEB26SACDAL-DAL,KXNBAGAME-26FEB26SACDAL,Sports,yes,post_yes,maker,69,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.734951+00:00,0.000000,0.000000,p_true=0.695000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26SACDAL-SAC,2026-02-27T01:47:03.033631+00:00,,KXNBAGAME-26FEB26SACDAL-SAC,KXNBAGAME-26FEB26SACDAL,Sports,yes,post_yes,maker,30,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.735008+00:00,0.000000,0.000000,p_true=0.300000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26SASBKN-BKN,2026-02-27T01:47:03.129188+00:00,,KXNBAGAME-26FEB26SASBKN-BKN,KXNBAGAME-26FEB26SASBKN,Sports,yes,post_yes,maker,3,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.735064+00:00,0.000000,0.000000,p_true=0.035000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26SASBKN-SAS,2026-02-27T01:47:03.216329+00:00,,KXNBAGAME-26FEB26SASBKN-SAS,KXNBAGAME-26FEB26SASBKN,Sports,yes,post_yes,maker,96,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.735117+00:00,0.000000,0.000000,p_true=0.965000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26WASATL-ATL,2026-02-27T01:47:03.308243+00:00,,KXNBAGAME-26FEB26WASATL-ATL,KXNBAGAME-26FEB26WASATL,Sports,yes,post_yes,maker,97,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.735160+00:00,0.000000,0.000000,p_true=0.975000;edge_gone:nba_live_odds_missing;station_id=None
shadow-26FEB26-KXNBAGAME-26FEB26WASATL-WAS,2026-02-27T01:47:03.396894+00:00,,KXNBAGAME-26FEB26WASATL-WAS,KXNBAGAME-26FEB26WASATL,Sports,yes,post_yes,maker,2,2,1,0.0,0.0,,,,filled,,,,p_true=0.025000;fill_trade_id=5b6ddd78-c14a-545d-fb9d-f3144483df11;fill_count_seen=1
shadow-26FEB26-KXNHLGAME-26FEB26CGYSJ-CGY,2026-02-27T01:47:03.689245+00:00,,KXNHLGAME-26FEB26CGYSJ-CGY,KXNHLGAME-26FEB26CGYSJ,Sports,yes,post_yes,maker,46,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.746071+00:00,0.000000,0.000000,p_true=0.465000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26-KXNHLGAME-26FEB26CGYSJ-SJ,2026-02-27T01:47:03.789586+00:00,,KXNHLGAME-26FEB26CGYSJ-SJ,KXNHLGAME-26FEB26CGYSJ,Sports,yes,post_yes,maker,54,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.746211+00:00,0.000000,0.000000,p_true=0.545000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26-KXNHLGAME-26FEB26EDMLA-EDM,2026-02-27T01:47:04.247234+00:00,,KXNHLGAME-26FEB26EDMLA-EDM,KXNHLGAME-26FEB26EDMLA,Sports,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.778315+00:00,0.000000,0.000000,p_true=0.505000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26-KXNHLGAME-26FEB26EDMLA-LA,2026-02-27T01:47:04.343415+00:00,,KXNHLGAME-26FEB26EDMLA-LA,KXNHLGAME-26FEB26EDMLA,Sports,yes,post_yes,maker,48,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.778411+00:00,0.000000,0.000000,p_true=0.485000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26-KXNHLGAME-26FEB26NJPIT-NJ,2026-02-27T01:47:04.664965+00:00,,KXNHLGAME-26FEB26NJPIT-NJ,KXNHLGAME-26FEB26NJPIT,Sports,yes,post_yes,maker,45,45,1,0.0,0.0,,,,filled,,,,p_true=0.455000;fill_trade_id=dae7b21a-9e62-7c52-6066-0d5e2e3d668b;fill_count_seen=1
shadow-26FEB26-KXNHLGAME-26FEB26NJPIT-PIT,2026-02-27T01:47:04.751952+00:00,,KXNHLGAME-26FEB26NJPIT-PIT,KXNHLGAME-26FEB26NJPIT,Sports,yes,post_yes,maker,55,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.797831+00:00,0.000000,0.000000,p_true=0.555000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26-KXNHLGAME-26FEB26NYIMTL-MTL,2026-02-27T01:47:04.838528+00:00,,KXNHLGAME-26FEB26NYIMTL-MTL,KXNHLGAME-26FEB26NYIMTL,Sports,yes,post_yes,maker,76,76,1,0.0,0.0,,,,filled,,,,p_true=0.755000;fill_trade_id=d88c1d82-1766-6018-522a-ef2a9340f476;fill_count_seen=2
shadow-26FEB26-KXNHLGAME-26FEB26NYIMTL-NYI,2026-02-27T01:47:04.932429+00:00,,KXNHLGAME-26FEB26NYIMTL-NYI,KXNHLGAME-26FEB26NYIMTL,Sports,yes,post_yes,maker,23,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.797918+00:00,0.000000,0.000000,p_true=0.230000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26-KXNHLGAME-26FEB26TBCAR-CAR,2026-02-27T01:47:05.394671+00:00,,KXNHLGAME-26FEB26TBCAR-CAR,KXNHLGAME-26FEB26TBCAR,Sports,yes,post_yes,maker,55,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.821629+00:00,0.000000,0.000000,p_true=0.550000;edge_gone:nhl_live_odds_missing;station_id=None
shadow-26FEB26-KXNHLGAME-26FEB26TBCAR-TB,2026-02-27T01:47:05.485397+00:00,,KXNHLGAME-26FEB26TBCAR-TB,KXNHLGAME-26FEB26TBCAR,Sports,yes,post_yes,maker,44,44,1,0.0,0.0,,,,filled,,,,p_true=0.445000;fill_trade_id=cf9cfe0b-e72d-4d74-1181-38c8e0602532;fill_count_seen=1
shadow-26FEB26-KXNHLGAME-26FEB26TORFLA-TOR,2026-02-27T01:47:05.671865+00:00,,KXNHLGAME-26FEB26TORFLA-TOR,KXNHLGAME-26FEB26TORFLA,Sports,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:47:22.832872+00:00,0.000000,0.000000,p_true=0.015000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26-KXNHLGAME-26FEB26PHINYR-NYR,2026-02-27T01:47:22.245861+00:00,,KXNHLGAME-26FEB26PHINYR-NYR,KXNHLGAME-26FEB26PHINYR,Sports,yes,post_yes,maker,66,66,1,0.000000,0.002500,,,,filled,,,,"p_true=0.500000;reopened_from_closed_override;reprice:50->51@2026-02-26T23:48:19.638351+00:00;rev=1;reprice_from=50;mu=0.5750;sigma=0.0000;p_true=0.562400;forecast_updated=2026-02-26T23:48:20.001393+00:00;station_id=;reprice:51->66@2026-02-27T01:47:22.245861+00:00;rev=2;reprice_from=51;mu=0.7250;sigma=0.0000;p_true=0.719926;forecast_updated=2026-02-27T01:47:22.578620+00:00;station_id=;latest_eval=ev=0.012926,mu=0.7250,sigma=0.0000,p_true=0.716360,forecast_updated=2026-02-27T01:55:50.674852+00:00,station_id=,model=sports,econ_asof=;fill_trade_id=9fa372b7-93b3-49d0-0ae9-1677a65381da;fill_count_seen=1"
shadow-26FEB26-KXNHLGAME-26FEB26CHINSH-NSH,2026-02-27T01:47:22.753556+00:00,,KXNHLGAME-26FEB26CHINSH-NSH,KXNHLGAME-26FEB26CHINSH,Sports,yes,post_yes,maker,68,68,1,0.000000,0.002500,,,,filled,,,,"p_true=0.755000;reprice:75->68@2026-02-27T01:47:22.753556+00:00;rev=1;reprice_from=75;mu=0.7550;sigma=0.0000;p_true=0.738214;forecast_updated=2026-02-27T01:47:22.753695+00:00;station_id=;latest_eval=ev=0.012731,mu=0.7600,sigma=0.0000,p_true=0.737853,forecast_updated=2026-02-27T01:55:50.703383+00:00,station_id=,model=sports,econ_asof=;fill_trade_id=72968d63-5f2d-6d1c-6002-93fb4c408811;fill_count_seen=7"
